Date,GBP,IDR,BRZ,EU,JPY,RUB,INR,CNY
2007-12-31 00:00:00,0.50511,9410.0,1.7591,0.67921,109.89,24.439,39.17,7.2794
2008-01-07 00:00:00,0.509,9441.0,1.7618,0.67972,109.4,24.448,39.21,7.266
2008-01-14 00:00:00,0.50916,9437.0,1.7566,0.67622,107.2,24.37,39.34,7.2431
2008-01-21 00:00:00,0.51048,9407.0,1.8111,0.68568,106.44,24.662,39.235,7.2291
2008-01-28 00:00:00,0.50295,9283.0,1.7711,0.67481,106.69,24.452,39.605,7.191
2008-02-04 00:00:00,0.5104,9229.0,1.7567,0.68287,106.85,24.639,39.66,7.1861
2008-02-11 00:00:00,0.51036,9237.0,1.7507,0.68526,107.51,24.641,40.015,7.1883
2008-02-18 00:00:00,0.51178,9171.0,1.7255,0.67916,107.76,24.54,39.92,7.1491
2008-02-25 00:00:00,0.50536,9088.0,1.685,0.66644,106.46,24.213,40.43,7.135
2008-03-03 00:00:00,0.50152,9081.0,1.6778,0.65496,103.12,23.954,40.455,7.1072
2008-03-10 00:00:00,0.4946,9195.0,1.687,0.64654,101.79,23.762,39.87,7.0971
2008-03-17 00:00:00,0.49981,9221.0,1.713,0.63841,98.36,23.601,39.87,7.0698
2008-03-24 00:00:00,0.49997,9195.0,1.7344,0.63633,99.78,23.557,39.855,7.0248
2008-03-31 00:00:00,0.5031,9221.0,1.7343,0.63816,101.46,23.591,39.84,7.0149
2008-04-07 00:00:00,0.50587,9195.0,1.6969,0.63436,101.78,23.514,39.755,7.0005
2008-04-14 00:00:00,0.50482,9190.0,1.673,0.63072,101.85,23.436,40.065,6.9923
2008-04-21 00:00:00,0.50395,9205.0,1.6643,0.63183,103.53,23.457,40.56,6.9957
2008-04-28 00:00:00,0.50531,9221.0,1.6791,0.64313,104.48,23.694,41.565,6.9905
2008-05-05 00:00:00,0.5103,9233.0,1.6752,0.64746,104.44,23.779,42.41,6.9916
2008-05-12 00:00:00,0.51359,9279.0,1.6646,0.64671,104.57,23.832,42.55,6.9926
2008-05-19 00:00:00,0.50773,9296.0,1.6487,0.63723,103.66,23.64,42.16,6.9586
2008-05-26 00:00:00,0.50608,9322.0,1.6525,0.6391,104.58,23.625,42.665,6.9419
2008-06-02 00:00:00,0.51038,9312.0,1.6276,0.6445,105.27,23.737,42.88,6.9332
2008-06-09 00:00:00,0.51067,9322.0,1.6363,0.6445,107.12,23.686,42.845,6.9151
2008-06-16 00:00:00,0.50967,9290.0,1.615,0.64499,108.0,23.652,42.79,6.8863
2008-06-23 00:00:00,0.5063,9240.0,1.6039,0.63967,107.48,23.542,43.15,6.8676
2008-06-30 00:00:00,0.50296,9217.0,1.6036,0.63371,106.13,23.44,42.78,6.8548
2008-07-07 00:00:00,0.50665,9181.0,1.6068,0.63617,107.15,23.459,42.735,6.8508
2008-07-14 00:00:00,0.50026,9146.0,1.5941,0.6298,105.66,23.202,42.16,6.8231
2008-07-21 00:00:00,0.50084,9139.0,1.5798,0.63347,107.23,23.297,42.27,6.8256
2008-07-28 00:00:00,0.50441,9111.0,1.5678,0.63918,107.84,23.407,41.98,6.8329
2008-08-04 00:00:00,0.5129,9102.0,1.5787,0.64872,108.78,23.653,42.81,6.8551
2008-08-11 00:00:00,0.52998,9179.0,1.616,0.6715,109.7,24.332,43.33,6.8614
2008-08-18 00:00:00,0.53705,9166.0,1.6258,0.6781,109.64,24.452,43.87,6.8539
2008-08-25 00:00:00,0.54336,9161.0,1.6284,0.67898,109.34,24.568,44.665,6.8385
2008-09-01 00:00:00,0.56146,9232.0,1.6738,0.69142,107.97,25.078,45.71,6.8372
2008-09-08 00:00:00,0.56813,9361.0,1.7679,0.70972,107.52,25.624,45.81,6.8424
2008-09-15 00:00:00,0.55594,9416.0,1.8366,0.70048,105.52,25.476,46.52,6.84
2008-09-22 00:00:00,0.54086,9343.0,1.8319,0.68185,105.86,25.042,46.8,6.8267
2008-09-29 00:00:00,0.56036,9446.0,1.9452,0.70952,105.56,25.656,48.365,6.8485
2008-10-06 00:00:00,0.57405,9659.0,2.2529,0.73249,101.27,26.106,48.715,6.8264
2008-10-13 00:00:00,0.57421,9820.0,2.151,0.73611,101.22,26.178,49.77,6.8323
2008-10-20 00:00:00,0.60668,9958.0,2.2972,0.77095,98.4,26.803,49.325,6.8354
2008-10-27 00:00:00,0.6259,10824.0,2.1755,0.78678,96.44,27.087,47.49,6.8429
2008-11-03 00:00:00,0.62841,10997.0,2.1579,0.78076,98.42,26.977,48.79,6.8303
2008-11-10 00:00:00,0.65619,11512.0,2.2466,0.78902,97.36,27.337,49.555,6.8269
2008-11-17 00:00:00,0.66782,12165.0,2.3639,0.79252,95.91,27.463,49.575,6.83
2008-11-24 00:00:00,0.65738,12405.0,2.3328,0.77948,95.6,27.542,49.49,6.8293
2008-12-01 00:00:00,0.67586,12115.0,2.4253,0.79095,93.08,28.027,48.48,6.8833
2008-12-08 00:00:00,0.67342,11205.0,2.4472,0.76722,92.01,27.909,47.15,6.8622
2008-12-15 00:00:00,0.65762,11099.0,2.375,0.71618,89.37,27.639,48.435,6.8414
2008-12-22 00:00:00,0.67612,11234.0,2.3749,0.7151,90.18,28.484,48.12,6.8465
2008-12-29 00:00:00,0.68853,11037.0,2.3471,0.71235,90.68,29.413,47.817,6.8335
2009-01-05 00:00:00,0.67037,10993.0,2.2599,0.73735,92.63,29.703,48.51,6.8343
2009-01-12 00:00:00,0.68006,11169.0,2.3298,0.75546,89.71,31.774,48.736,6.8359
2009-01-19 00:00:00,0.7187,11235.0,2.3502,0.7716,89.63,32.994,49.01,6.8376
2009-01-26 00:00:00,0.70651,11351.0,2.3004,0.76511,89.53,34.063,48.738,6.8381
2009-02-02 00:00:00,0.69398,11725.0,2.3153,0.78064,89.79,36.263,48.56,6.839
2009-02-09 00:00:00,0.68689,11848.0,2.2726,0.77435,90.93,35.267,48.588,6.8334
2009-02-16 00:00:00,0.69956,12098.0,2.3211,0.79001,92.9,35.93,49.408,6.8369
2009-02-23 00:00:00,0.69465,11993.0,2.3794,0.78394,96.55,35.869,50.209,6.8383
2009-03-02 00:00:00,0.70809,12072.0,2.4015,0.7939,98.13,36.034,51.77,6.8421
2009-03-09 00:00:00,0.72275,12005.0,2.3384,0.78345,98.17,35.105,51.594,6.8398
2009-03-16 00:00:00,0.70342,11928.0,2.2666,0.75375,97.25,34.102,50.985,6.833
2009-03-23 00:00:00,0.68698,11552.0,2.2554,0.74118,97.78,33.512,50.514,6.82
2009-03-30 00:00:00,0.69146,11574.0,2.2806,0.75115,98.78,33.72,50.627,6.8452
2009-04-06 00:00:00,0.67861,11350.0,2.2127,0.75109,100.32,33.498,50.047,6.8354
2009-04-13 00:00:00,0.67206,10811.0,2.1862,0.75896,99.32,33.423,49.715,6.8323
2009-04-20 00:00:00,0.68625,10848.0,2.2176,0.76775,97.97,33.759,50.138,6.8308
2009-04-27 00:00:00,0.68049,10777.0,2.2034,0.75965,97.0,33.297,50.179,6.8259
2009-05-04 00:00:00,0.66488,10444.0,2.1221,0.74923,99.1,32.759,49.436,6.8218
2009-05-11 00:00:00,0.65927,10386.0,2.0843,0.73573,96.34,32.167,49.528,6.8236
2009-05-18 00:00:00,0.64219,10303.0,2.0468,0.7295,95.35,31.646,47.493,6.8248
2009-05-25 00:00:00,0.62627,10298.0,2.022,0.71659,95.64,31.134,47.51,6.8275
2009-06-01 00:00:00,0.61197,10127.0,1.9448,0.70487,96.02,30.724,47.072,6.831
2009-06-08 00:00:00,0.61472,10077.0,1.945,0.71531,98.18,31.086,47.519,6.8349
2009-06-15 00:00:00,0.61192,10272.0,1.959,0.72015,96.87,31.214,47.886,6.8359
2009-06-22 00:00:00,0.60947,10370.0,1.9742,0.71531,95.72,31.266,48.443,6.8344
2009-06-29 00:00:00,0.60708,10226.0,1.941,0.71078,96.15,31.16,47.909,6.8323
2009-07-06 00:00:00,0.61807,10214.0,1.987,0.71726,94.01,31.835,48.637,6.8327
2009-07-13 00:00:00,0.61293,10176.0,1.9556,0.71149,93.3,32.12,48.816,6.832
2009-07-20 00:00:00,0.60757,10032.0,1.8989,0.70338,94.28,31.064,48.37,6.831
2009-07-27 00:00:00,0.60691,9951.0,1.883,0.70626,95.09,31.217,48.234,6.8313
2009-08-03 00:00:00,0.59223,9918.0,1.8306,0.69614,95.18,31.268,47.59,6.8309
2009-08-10 00:00:00,0.60342,9953.0,1.8322,0.70299,96.12,31.971,48.088,6.8344
2009-08-17 00:00:00,0.60821,10052.0,1.8543,0.70562,94.26,31.929,48.763,6.8333
2009-08-24 00:00:00,0.61203,10068.0,1.8491,0.69881,94.1,31.509,48.767,6.8312
2009-08-31 00:00:00,0.61405,10117.0,1.8808,0.70023,92.84,31.776,48.935,6.8303
2009-09-07 00:00:00,0.60389,9964.0,1.8292,0.68999,92.12,31.11,48.536,6.8287
2009-09-14 00:00:00,0.60693,9793.0,1.8107,0.6825,91.0,30.581,48.379,6.8276
2009-09-21 00:00:00,0.61636,9680.0,1.8007,0.67879,91.22,30.124,47.978,6.8274
2009-09-28 00:00:00,0.62696,9675.0,1.7863,0.68568,89.67,30.117,47.835,6.8267
2009-10-05 00:00:00,0.62695,9456.0,1.7549,0.67986,89.05,29.766,46.771,6.8262
2009-10-12 00:00:00,0.62372,9408.0,1.724,0.67345,90.11,29.463,46.305,6.8262
2009-10-19 00:00:00,0.60786,9445.0,1.7313,0.66818,91.13,29.147,46.381,6.8277
2009-10-26 00:00:00,0.60918,9583.0,1.7301,0.67326,91.5,29.112,47.003,6.8283
2009-11-02 00:00:00,0.60698,9537.0,1.7411,0.67641,90.44,29.183,47.031,6.8276
2009-11-09 00:00:00,0.60025,9404.0,1.7189,0.66867,89.9,28.769,46.421,6.8267
2009-11-16 00:00:00,0.59934,9447.0,1.7196,0.67137,89.17,28.826,46.387,6.8273
2009-11-23 00:00:00,0.60353,9469.0,1.73,0.66658,87.67,28.976,46.432,6.8282
2009-11-30 00:00:00,0.60228,9439.0,1.7231,0.66335,87.38,29.214,46.283,6.8267
2009-12-07 00:00:00,0.61317,9460.0,1.7496,0.67737,88.74,30.252,46.567,6.8277
2009-12-14 00:00:00,0.61618,9489.0,1.7663,0.69032,89.65,30.416,46.732,6.828
2009-12-21 00:00:00,0.62463,9494.0,1.7738,0.69784,91.35,30.23,46.782,6.8283
2009-12-28 00:00:00,0.62452,9443.0,1.7379,0.69464,92.0,29.998,46.639,6.8277
2010-01-04 00:00:00,0.62478,9328.0,1.7352,0.69677,92.77,29.854,45.968,6.8272
2010-01-11 00:00:00,0.61608,9171.0,1.7496,0.69032,91.58,29.482,45.591,6.8271
2010-01-18 00:00:00,0.61557,9308.0,1.7892,0.70442,90.91,29.722,45.923,6.8269
2010-01-25 00:00:00,0.61843,9369.0,1.8417,0.71149,90.0,30.275,46.201,6.8267
2010-02-01 00:00:00,0.63012,9367.0,1.8596,0.72077,90.34,30.212,46.321,6.8272
2010-02-08 00:00:00,0.64017,9368.0,1.8588,0.7303,89.66,30.309,46.591,6.8302
2010-02-15 00:00:00,0.6399,9319.0,1.839,0.73454,90.68,30.107,46.244,6.8328
2010-02-22 00:00:00,0.65049,9316.0,1.8182,0.73735,90.15,30.035,46.229,6.8265
2010-03-01 00:00:00,0.66597,9266.0,1.792,0.73567,88.99,29.866,45.864,6.8262
2010-03-08 00:00:00,0.66478,9177.0,1.7755,0.7326,90.37,29.574,45.501,6.8263
2010-03-15 00:00:00,0.6583,9143.0,1.7719,0.7311,90.53,29.284,45.485,6.8263
2010-03-22 00:00:00,0.66964,9122.0,1.7994,0.74588,91.51,29.615,45.462,6.827
2010-03-29 00:00:00,0.66185,9083.0,1.791,0.74212,93.09,29.458,44.903,6.8261
2010-04-05 00:00:00,0.65678,9052.0,1.7712,0.74884,93.63,29.353,44.43,6.8249
2010-04-12 00:00:00,0.64833,9014.0,1.7532,0.73681,93.17,29.031,44.385,6.8259
2010-04-19 00:00:00,0.65134,9018.0,1.7572,0.74694,93.01,29.175,44.556,6.8268
2010-04-26 00:00:00,0.65313,9017.0,1.744,0.75273,94.12,29.202,44.473,6.826
2010-05-03 00:00:00,0.66394,9120.0,1.7765,0.7725,94.01,29.872,44.961,6.826
2010-05-10 00:00:00,0.67526,9106.0,1.7805,0.78827,92.85,30.07,45.107,6.8277
2010-05-17 00:00:00,0.69605,9175.0,1.8356,0.80802,91.47,30.804,46.267,6.8274
2010-05-24 00:00:00,0.69295,9266.0,1.8513,0.81261,90.42,31.035,47.045,6.8304
2010-05-31 00:00:00,0.68513,9211.0,1.8267,0.81954,91.97,31.119,46.801,6.8288
2010-06-07 00:00:00,0.68787,9258.0,1.8405,0.83215,91.56,31.658,46.962,6.8303
2010-06-14 00:00:00,0.67689,9147.0,1.7909,0.81274,91.25,31.187,46.41,6.8305
2010-06-21 00:00:00,0.67232,9044.0,1.7801,0.81334,90.21,31.027,46.199,6.8028
2010-06-28 00:00:00,0.66389,9055.0,1.7941,0.81057,88.41,31.18,46.512,6.7854
2010-07-05 00:00:00,0.66066,9063.0,1.7686,0.79397,87.86,31.038,46.834,6.7764
2010-07-12 00:00:00,0.65704,9047.0,1.7602,0.7853,88.02,30.62,46.739,6.7745
2010-07-19 00:00:00,0.65489,9062.0,1.7759,0.77682,86.99,30.468,47.14,6.7787
2010-07-26 00:00:00,0.64223,8991.0,1.7636,0.76858,87.06,30.237,46.68,6.7773
2010-08-02 00:00:00,0.62915,8942.0,1.753,0.75919,86.02,29.88,46.185,6.7719
2010-08-09 00:00:00,0.63628,8974.0,1.7657,0.76935,85.64,30.28,46.549,6.779
2010-08-16 00:00:00,0.64068,8970.0,1.7571,0.77997,85.4,30.484,46.588,6.7947
2010-08-23 00:00:00,0.64621,8995.0,1.7645,0.78945,84.6,30.799,46.842,6.7987
